学科代码,学科名称,学科门类,学校代码,学校名称,评估等级
0101,哲学,人文社科类,10001,北京大学,A+
0101,哲学,人文社科类,10246,复旦大学,A+
0101,哲学,人文社科类,10002,中国人民大学,A
0101,哲学,人文社科类,10284,南京大学,A
0101,哲学,人文社科类,10027,北京师范大学,A-
0101,哲学,人文社科类,10183,吉林大学,A-
0101,哲学,人文社科类,10486,武汉大学,A-
0101,哲学,人文社科类,10558,中山大学,A-
0101,哲学,人文社科类,10003,清华大学,B+
0101,哲学,人文社科类,10055,南开大学,B+
0101,哲学,人文社科类,10212,黑龙江大学,B+
0101,哲学,人文社科类,10269,华东师范大学,B+
0101,哲学,人文社科类,10286,东南大学,B+
0101,哲学,人文社科类,10335,浙江大学,B+
0101,哲学,人文社科类,10422,山东大学,B+
0101,哲学,人文社科类,10487,华中科技大学,B+
0101,哲学,人文社科类,10052,中央民族大学,B
0101,哲学,人文社科类,10108,山西大学,B
0101,哲学,人文社科类,10145,东北大学,B
0101,哲学,人文社科类,10247,同济大学,B
0101,哲学,人文社科类,10319,南京师范大学,B
0101,哲学,人文社科类,10384,厦门大学,B
0101,哲学,人文社科类,10542,湖南师范大学,B
0101,哲学,人文社科类,10610,四川大学,B
0101,哲学,人文社科类,10718,陕西师范大学,B
0101,哲学,人文社科类,10140,辽宁大学,B-
0101,哲学,人文社科类,10141,大连理工大学,B-
0101,哲学,人文社科类,10270,上海师范大学,B-
0101,哲学,人文社科类,10285,苏州大学,B-
0101,哲学,人文社科类,10533,中南大学,B-
0101,哲学,人文社科类,10574,华南师范大学,B-
0101,哲学,人文社科类,10635,西南大学,B-
0101,哲学,人文社科类,10698,西安交通大学,B-
0101,哲学,人文社科类,10053,中国政法大学,C+
0101,哲学,人文社科类,10075,河北大学,C+
0101,哲学,人文社科类,10357,安徽大学,C+
0101,哲学,人文社科类,10385,华侨大学,C+
0101,哲学,人文社科类,10403,南昌大学,C+
0101,哲学,人文社科类,10475,河南大学,C+
0101,哲学,人文社科类,10512,湖北大学,C+
0101,哲学,人文社科类,10520,中南财经政法大学,C+
0101,哲学,人文社科类,10730,兰州大学,C+
0101,哲学,人文社科类,10203,吉林师范大学,C
0101,哲学,人文社科类,10280,上海大学,C
0101,哲学,人文社科类,10531,吉首大学,C
0101,哲学,人文社科类,10590,深圳大学,C
0101,哲学,人文社科类,10656,西南民族大学,C
0101,哲学,人文社科类,10673,云南大学,C
0101,哲学,人文社科类,10674,昆明理工大学,C
0101,哲学,人文社科类,10726,西北政法大学,C
0101,哲学,人文社科类,10094,河北师范大学,C-
0101,哲学,人文社科类,10166,沈阳师范大学,C-
0101,哲学,人文社科类,10370,安徽师范大学,C-
0101,哲学,人文社科类,10476,河南师范大学,C-
0101,哲学,人文社科类,10593,广西大学,C-
0101,哲学,人文社科类,10636,四川师范大学,C-
0101,哲学,人文社科类,10652,西南政法大学,C-
0101,哲学,人文社科类,10681,云南师范大学,C-
0201,理论经济学,人文社科类,10002,中国人民大学,A+
0201,理论经济学,人文社科类,10246,复旦大学,A+
0201,理论经济学,人文社科类,10001,北京大学,A
0201,理论经济学,人文社科类,10055,南开大学,A
0201,理论经济学,人文社科类,10027,北京师范大学,A-
0201,理论经济学,人文社科类,10284,南京大学,A-
0201,理论经济学,人文社科类,10335,浙江大学,A-
0201,理论经济学,人文社科类,10486,武汉大学,A-
0201,理论经济学,人文社科类,10697,西北大学,A-
0201,理论经济学,人文社科类,10003,清华大学,B+
0201,理论经济学,人文社科类,10034,中央财经大学,B+
0201,理论经济学,人文社科类,10183,吉林大学,B+
0201,理论经济学,人文社科类,10272,上海财经大学,B+
0201,理论经济学,人文社科类,10384,厦门大学,B+
0201,理论经济学,人文社科类,10422,山东大学,B+
0201,理论经济学,人文社科类,10487,华中科技大学,B+
0201,理论经济学,人文社科类,10558,中山大学,B+
0201,理论经济学,人文社科类,10651,西南财经大学,B+
0201,理论经济学,人文社科类,10036,对外经济贸易大学,B
0201,理论经济学,人文社科类,10140,辽宁大学,B
0201,理论经济学,人文社科类,10173,东北财经大学,B
0201,理论经济学,人文社科类,10394,福建师范大学,B
0201,理论经济学,人文社科类,10421,江西财经大学,B
0201,理论经济学,人文社科类,10520,中南财经政法大学,B
0201,理论经济学,人文社科类,10590,深圳大学,B
0201,理论经济学,人文社科类,10610,四川大学,B
0201,理论经济学,人文社科类,10673,云南大学,B
0201,理论经济学,人文社科类,10038,首都经济贸易大学,B-
0201,理论经济学,人文社科类,10200,东北师范大学,B-
0201,理论经济学,人文社科类,10512,湖北大学,B-
0201,理论经济学,人文社科类,10530,湘潭大学,B-
0201,理论经济学,人文社科类,10532,湖南大学,B-
0201,理论经济学,人文社科类,10559,暨南大学,B-
0201,理论经济学,人文社科类,10574,华南师范大学,B-
0201,理论经济学,人文社科类,10718,陕西师范大学,B-
0201,理论经济学,人文社科类,10755,新疆大学,B-
0201,理论经济学,人文社科类,10007,北京理工大学,C+
0201,理论经济学,人文社科类,10052,中央民族大学,C+
0201,理论经济学,人文社科类,10053,中国政法大学,C+
0201,理论经济学,人文社科类,10070,天津财经大学,C+
0201,理论经济学,人文社科类,10075,河北大学,C+
0201,理论经济学,人文社科类,10125,山西财经大学,C+
0201,理论经济学,人文社科类,10269,华东师范大学,C+
0201,理论经济学,人文社科类,10327,南京财经大学,C+
0201,理论经济学,人文社科类,10475,河南大学,C+
0201,理论经济学,人文社科类,10542,湖南师范大学,C+
0201,理论经济学,人文社科类,10108,山西大学,C
0201,理论经济学,人文社科类,10207,吉林财经大学,C
0201,理论经济学,人文社科类,10212,黑龙江大学,C
0201,理论经济学,人文社科类,10357,安徽大学,C
0201,理论经济学,人文社科类,10456,山东财经大学,C
0201,理论经济学,人文社科类,10511,华中师范大学,C
0201,理论经济学,人文社科类,10611,重庆大学,C
0201,理论经济学,人文社科类,10636,四川师范大学,C
0201,理论经济学,人文社科类,11065,青岛大学,C
0201,理论经济学,人文社科类,11482,浙江财经大学,C
0201,理论经济学,人文社科类,10011,北京工商大学,C-
0201,理论经济学,人文社科类,10280,上海大学,C-
0201,理论经济学,人文社科类,10689,云南财经大学,C-
0201,理论经济学,人文社科类,10698,西安交通大学,C-
0201,理论经济学,人文社科类,10730,兰州大学,C-
0201,理论经济学,人文社科类,10741,兰州财经大学,C-
0201,理论经济学,人文社科类,11287,南京审计大学,C-
0202,应用经济学,人文社科类,10001,北京大学,A+
0202,应用经济学,人文社科类,10002,中国人民大学,A+
0202,应用经济学,人文社科类,10034,中央财经大学,A+
0202,应用经济学,人文社科类,10036,对外经济贸易大学,A
0202,应用经济学,人文社科类,10173,东北财经大学,A
0202,应用经济学,人文社科类,10272,上海财经大学,A
0202,应用经济学,人文社科类,10384,厦门大学,A
0202,应用经济学,人文社科类,10003,清华大学,A-
0202,应用经济学,人文社科类,10055,南开大学,A-
0202,应用经济学,人文社科类,10246,复旦大学,A-
0202,应用经济学,人文社科类,10421,江西财经大学,A-
0202,应用经济学,人文社科类,10422,山东大学,A-
0202,应用经济学,人文社科类,10520,中南财经政法大学,A-
0202,应用经济学,人文社科类,10651,西南财经大学,A-
0202,应用经济学,人文社科类,10698,西安交通大学,A-
0202,应用经济学,人文社科类,10004,北京交通大学,B+
0202,应用经济学,人文社科类,10038,首都经济贸易大学,B+
0202,应用经济学,人文社科类,10070,天津财经大学,B+
0202,应用经济学,人文社科类,10140,辽宁大学,B+
0202,应用经济学,人文社科类,10183,吉林大学,B+
0202,应用经济学,人文社科类,10284,南京大学,B+
0202,应用经济学,人文社科类,10286,东南大学,B+
0202,应用经济学,人文社科类,10335,浙江大学,B+
0202,应用经济学,人文社科类,10353,浙江工商大学,B+
0202,应用经济学,人文社科类,10456,山东财经大学,B+
0202,应用经济学,人文社科类,10486,武汉大学,B+
0202,应用经济学,人文社科类,10487,华中科技大学,B+
0202,应用经济学,人文社科类,10532,湖南大学,B+
0202,应用经济学,人文社科类,10558,中山大学,B+
0202,应用经济学,人文社科类,10559,暨南大学,B+
0202,应用经济学,人文社科类,11482,浙江财经大学,B+
0202,应用经济学,人文社科类,10007,北京理工大学,B
0202,应用经济学,人文社科类,10011,北京工商大学,B
0202,应用经济学,人文社科类,10125,山西财经大学,B
0202,应用经济学,人文社科类,10141,大连理工大学,B
0202,应用经济学,人文社科类,10247,同济大学,B
0202,应用经济学,人文社科类,10269,华东师范大学,B
0202,应用经济学,人文社科类,10273,上海对外经贸大学,B
0202,应用经济学,人文社科类,10280,上海大学,B
0202,应用经济学,人文社科类,10327,南京财经大学,B
0202,应用经济学,人文社科类,10357,安徽大学,B
0202,应用经济学,人文社科类,10423,中国海洋大学,B
0202,应用经济学,人文社科类,10497,武汉理工大学,B
0202,应用经济学,人文社科类,10593,广西大学,B
0202,应用经济学,人文社科类,10611,重庆大学,B
0202,应用经济学,人文社科类,10689,云南财经大学,B
0202,应用经济学,人文社科类,10200,东北师范大学,B-
0202,应用经济学,人文社科类,10240,哈尔滨商业大学,B-
0202,应用经济学,人文社科类,10251,华东理工大学,B-
0202,应用经济学,人文社科类,10285,苏州大学,B-
0202,应用经济学,人文社科类,10319,南京师范大学,B-
0202,应用经济学,人文社科类,10337,浙江工业大学,B-
0202,应用经济学,人文社科类,10378,安徽财经大学,B-
0202,应用经济学,人文社科类,10385,华侨大学,B-
0202,应用经济学,人文社科类,10475,河南大学,B-
0202,应用经济学,人文社科类,10491,中国地质大学,B-
0202,应用经济学,人文社科类,10534,湖南科技大学,B-
0202,应用经济学,人文社科类,10610,四川大学,B-
0202,应用经济学,人文社科类,10730,兰州大学,B-
0202,应用经济学,人文社科类,11799,重庆工商大学,B-
0202,应用经济学,人文社科类,11846,广东外语外贸大学,B-
0202,应用经济学,人文社科类,91014,陆军勤务学院,B-
0202,应用经济学,人文社科类,10027,北京师范大学,C+
0202,应用经济学,人文社科类,10207,吉林财经大学,C+
0202,应用经济学,人文社科类,10403,南昌大学,C+
0202,应用经济学,人文社科类,10427,济南大学,C+
0202,应用经济学,人文社科类,10459,郑州大学,C+
0202,应用经济学,人文社科类,10484,河南财经政法大学,C+
0202,应用经济学,人文社科类,10511,华中师范大学,C+
0202,应用经济学,人文社科类,10536,长沙理工大学,C+
0202,应用经济学,人文社科类,10574,华南师范大学,C+
0202,应用经济学,人文社科类,10592,广东财经大学,C+
0202,应用经济学,人文社科类,10697,西北大学,C+
0202,应用经济学,人文社科类,10766,新疆财经大学,C+
0202,应用经济学,人文社科类,11560,西安财经学院,C+
0202,应用经济学,人文社科类,11646,宁波大学,C+
0202,应用经济学,人文社科类,11832,河北经贸大学,C+
0202,应用经济学,人文社科类,10008,北京科技大学,C
0202,应用经济学,人文社科类,10075,河北大学,C
0202,应用经济学,人文社科类,10126,内蒙古大学,C
0202,应用经济学,人文社科类,10270,上海师范大学,C
0202,应用经济学,人文社科类,10276,华东政法大学,C
0202,应用经济学,人文社科类,10290,中国矿业大学,C
0202,应用经济学,人文社科类,10295,江南大学,C
0202,应用经济学,人文社科类,10299,江苏大学,C
0202,应用经济学,人文社科类,10320,江苏师范大学,C
0202,应用经济学,人文社科类,10338,浙江理工大学,C
0202,应用经济学,人文社科类,10433,山东理工大学,C
0202,应用经济学,人文社科类,10589,海南大学,C
0202,应用经济学,人文社科类,10652,西南政法大学,C
0202,应用经济学,人文社科类,10656,西南民族大学,C
0202,应用经济学,人文社科类,10671,贵州财经大学,C
0202,应用经济学,人文社科类,10673,云南大学,C
0202,应用经济学,人文社科类,10741,兰州财经大学,C
0202,应用经济学,人文社科类,11287,南京审计大学,C
0202,应用经济学,人文社科类,11414,中国石油大学,C
0202,应用经济学,人文社科类,10052,中央民族大学,C-
0202,应用经济学,人文社科类,10053,中国政法大学,C-
0202,应用经济学,人文社科类,10058,天津工业大学,C-
0202,应用经济学,人文社科类,10069,天津商业大学,C-
0202,应用经济学,人文社科类,10139,内蒙古财经大学,C-
0202,应用经济学,人文社科类,10360,安徽工业大学,C-
0202,应用经济学,人文社科类,10602,广西师范大学,C-
0202,应用经济学,人文社科类,10657,贵州大学,C-
0202,应用经济学,人文社科类,10681,云南师范大学,C-
0202,应用经济学,人文社科类,10718,陕西师范大学,C-
0202,应用经济学,人文社科类,10759,石河子大学,C-
0202,应用经济学,人文社科类,11664,西安邮电大学,C-
0301,法学,人文社科类,10002,中国人民大学,A+
0301,法学,人文社科类,10053,中国政法大学,A+
0301,法学,人文社科类,10001,北京大学,A
0301,法学,人文社科类,10003,清华大学,A
0301,法学,人文社科类,10276,华东政法大学,A
0301,法学,人文社科类,10486,武汉大学,A
0301,法学,人文社科类,10652,西南政法大学,A
0301,法学,人文社科类,10036,对外经济贸易大学,A-
0301,法学,人文社科类,10183,吉林大学,A-
0301,法学,人文社科类,10248,上海交通大学,A-
0301,法学,人文社科类,10284,南京大学,A-
0301,法学,人文社科类,10335,浙江大学,A-
0301,法学,人文社科类,10384,厦门大学,A-
0301,法学,人文社科类,10520,中南财经政法大学,A-
0301,法学,人文社科类,10006,北京航空航天大学,B+
0301,法学,人文社科类,10027,北京师范大学,B+
0301,法学,人文社科类,10055,南开大学,B+
0301,法学,人文社科类,10140,辽宁大学,B+
0301,法学,人文社科类,10246,复旦大学,B+
0301,法学,人文社科类,10285,苏州大学,B+
0301,法学,人文社科类,10319,南京师范大学,B+
0301,法学,人文社科类,10422,山东大学,B+
0301,法学,人文社科类,10530,湘潭大学,B+
0301,法学,人文社科类,10533,中南大学,B+
0301,法学,人文社科类,10558,中山大学,B+
0301,法学,人文社科类,10610,四川大学,B+
0301,法学,人文社科类,10611,重庆大学,B+
0301,法学,人文社科类,10726,西北政法大学,B+
0301,法学,人文社科类,10034,中央财经大学,B
0301,法学,人文社科类,10041,中国人民公安大学,B
0301,法学,人文社科类,10151,大连海事大学,B
0301,法学,人文社科类,10212,黑龙江大学,B
0301,法学,人文社科类,10247,同济大学,B
0301,法学,人文社科类,10272,上海财经大学,B
0301,法学,人文社科类,10357,安徽大学,B
0301,法学,人文社科类,10421,江西财经大学,B
0301,法学,人文社科类,10423,中国海洋大学,B
0301,法学,人文社科类,10459,郑州大学,B
0301,法学,人文社科类,10532,湖南大学,B
0301,法学,人文社科类,10542,湖南师范大学,B
0301,法学,人文社科类,10589,海南大学,B
0301,法学,人文社科类,10651,西南财经大学,B
0301,法学,人文社科类,11066,烟台大学,B
