学科代码,学科名称,学科门类,学校代码,学校名称,评估等级,省份,城市
101,哲学,人文社科类,10001,北京大学,A+,北京市,北京市
101,哲学,人文社科类,10246,复旦大学,A+,上海市,上海市
101,哲学,人文社科类,10002,中国人民大学,A,北京市,北京市
101,哲学,人文社科类,10284,南京大学,A,江苏省,南京市
101,哲学,人文社科类,10027,北京师范大学,A-,北京市,北京市
101,哲学,人文社科类,10183,吉林大学,A-,吉林省,长春市
101,哲学,人文社科类,10486,武汉大学,A-,湖北省,武汉市
101,哲学,人文社科类,10558,中山大学,A-,广东省,广州市
101,哲学,人文社科类,10003,清华大学,B+,北京市,北京市
101,哲学,人文社科类,10055,南开大学,B+,天津市,天津市
101,哲学,人文社科类,10212,黑龙江大学,B+,黑龙江省,哈尔滨市
101,哲学,人文社科类,10269,华东师范大学,B+,上海市,上海市
101,哲学,人文社科类,10286,东南大学,B+,江苏省,南京市
101,哲学,人文社科类,10335,浙江大学,B+,浙江省,杭州市
101,哲学,人文社科类,10422,山东大学,B+,山东省,济南市
101,哲学,人文社科类,10487,华中科技大学,B+,湖北省,武汉市
101,哲学,人文社科类,10052,中央民族大学,B,北京市,北京市
101,哲学,人文社科类,10108,山西大学,B,山西省,太原市
101,哲学,人文社科类,10145,东北大学,B,辽宁省,沈阳市
101,哲学,人文社科类,10247,同济大学,B,上海市,上海市
101,哲学,人文社科类,10319,南京师范大学,B,江苏省,南京市
101,哲学,人文社科类,10384,厦门大学,B,福建省,厦门市
101,哲学,人文社科类,10542,湖南师范大学,B,湖南省,长沙市
101,哲学,人文社科类,10610,四川大学,B,四川省,成都市
101,哲学,人文社科类,10718,陕西师范大学,B,陕西省,西安市
101,哲学,人文社科类,10140,辽宁大学,B-,辽宁省,沈阳市
101,哲学,人文社科类,10141,大连理工大学,B-,辽宁省,大连市
101,哲学,人文社科类,10270,上海师范大学,B-,上海市,上海市
101,哲学,人文社科类,10285,苏州大学,B-,江苏省,苏州市
101,哲学,人文社科类,10533,中南大学,B-,湖南省,长沙市
101,哲学,人文社科类,10574,华南师范大学,B-,广东省,广州市
101,哲学,人文社科类,10635,西南大学,B-,重庆市,重庆市
101,哲学,人文社科类,10698,西安交通大学,B-,陕西省,西安市
101,哲学,人文社科类,10053,中国政法大学,C+,北京市,北京市
101,哲学,人文社科类,10075,河北大学,C+,河北省,保定市
101,哲学,人文社科类,10357,安徽大学,C+,安徽省,合肥市
101,哲学,人文社科类,10385,华侨大学,C+,福建省,泉州市
101,哲学,人文社科类,10403,南昌大学,C+,江西省,南昌市
101,哲学,人文社科类,10475,河南大学,C+,河南省,开封市
101,哲学,人文社科类,10512,湖北大学,C+,湖北省,武汉市
101,哲学,人文社科类,10520,中南财经政法大学,C+,湖北省,武汉市
101,哲学,人文社科类,10730,兰州大学,C+,甘肃省,兰州市
101,哲学,人文社科类,10203,吉林师范大学,C,吉林省,四平市
101,哲学,人文社科类,10280,上海大学,C,上海市,上海市
101,哲学,人文社科类,10531,吉首大学,C,湖南省,湘西土家族苗族自治州
101,哲学,人文社科类,10590,深圳大学,C,广东省,深圳市
101,哲学,人文社科类,10656,西南民族大学,C,四川省,成都市
101,哲学,人文社科类,10673,云南大学,C,云南省,昆明市
101,哲学,人文社科类,10674,昆明理工大学,C,云南省,昆明市
101,哲学,人文社科类,10726,西北政法大学,C,陕西省,西安市
101,哲学,人文社科类,10094,河北师范大学,C-,河北省,石家庄市
101,哲学,人文社科类,10166,沈阳师范大学,C-,辽宁省,沈阳市
101,哲学,人文社科类,10370,安徽师范大学,C-,安徽省,芜湖市
101,哲学,人文社科类,10476,河南师范大学,C-,河南省,新乡市
101,哲学,人文社科类,10593,广西大学,C-,广西壮族自治区,南宁市
101,哲学,人文社科类,10636,四川师范大学,C-,四川省,成都市
101,哲学,人文社科类,10652,西南政法大学,C-,重庆市,重庆市
101,哲学,人文社科类,10681,云南师范大学,C-,云南省,昆明市
201,理论经济学,人文社科类,10002,中国人民大学,A+,北京市,北京市
201,理论经济学,人文社科类,10246,复旦大学,A+,上海市,上海市
201,理论经济学,人文社科类,10001,北京大学,A,北京市,北京市
201,理论经济学,人文社科类,10055,南开大学,A,天津市,天津市
201,理论经济学,人文社科类,10027,北京师范大学,A-,北京市,北京市
201,理论经济学,人文社科类,10284,南京大学,A-,江苏省,南京市
201,理论经济学,人文社科类,10335,浙江大学,A-,浙江省,杭州市
201,理论经济学,人文社科类,10486,武汉大学,A-,湖北省,武汉市
201,理论经济学,人文社科类,10697,西北大学,A-,陕西省,西安市
201,理论经济学,人文社科类,10003,清华大学,B+,北京市,北京市
201,理论经济学,人文社科类,10034,中央财经大学,B+,北京市,北京市
201,理论经济学,人文社科类,10183,吉林大学,B+,吉林省,长春市
201,理论经济学,人文社科类,10272,上海财经大学,B+,上海市,上海市
201,理论经济学,人文社科类,10384,厦门大学,B+,福建省,厦门市
201,理论经济学,人文社科类,10422,山东大学,B+,山东省,济南市
201,理论经济学,人文社科类,10487,华中科技大学,B+,湖北省,武汉市
201,理论经济学,人文社科类,10558,中山大学,B+,广东省,广州市
201,理论经济学,人文社科类,10651,西南财经大学,B+,四川省,成都市
201,理论经济学,人文社科类,10036,对外经济贸易大学,B,北京市,北京市
201,理论经济学,人文社科类,10140,辽宁大学,B,辽宁省,沈阳市
201,理论经济学,人文社科类,10173,东北财经大学,B,辽宁省,大连市
201,理论经济学,人文社科类,10394,福建师范大学,B,福建省,福州市
201,理论经济学,人文社科类,10421,江西财经大学,B,江西省,南昌市
201,理论经济学,人文社科类,10520,中南财经政法大学,B,湖北省,武汉市
201,理论经济学,人文社科类,10590,深圳大学,B,广东省,深圳市
201,理论经济学,人文社科类,10610,四川大学,B,四川省,成都市
201,理论经济学,人文社科类,10673,云南大学,B,云南省,昆明市
201,理论经济学,人文社科类,10038,首都经济贸易大学,B-,北京市,北京市
201,理论经济学,人文社科类,10200,东北师范大学,B-,吉林省,长春市
201,理论经济学,人文社科类,10512,湖北大学,B-,湖北省,武汉市
201,理论经济学,人文社科类,10530,湘潭大学,B-,湖南省,湘潭市
201,理论经济学,人文社科类,10532,湖南大学,B-,湖南省,长沙市
201,理论经济学,人文社科类,10559,暨南大学,B-,广东省,广州市
201,理论经济学,人文社科类,10574,华南师范大学,B-,广东省,广州市
201,理论经济学,人文社科类,10718,陕西师范大学,B-,陕西省,西安市
201,理论经济学,人文社科类,10755,新疆大学,B-,新疆维吾尔自治区,乌鲁木齐市
201,理论经济学,人文社科类,10007,北京理工大学,C+,北京市,北京市
201,理论经济学,人文社科类,10052,中央民族大学,C+,北京市,北京市
201,理论经济学,人文社科类,10053,中国政法大学,C+,北京市,北京市
201,理论经济学,人文社科类,10070,天津财经大学,C+,天津市,天津市
201,理论经济学,人文社科类,10075,河北大学,C+,河北省,保定市
201,理论经济学,人文社科类,10125,山西财经大学,C+,山西省,太原市
